Text,category
whatsapp web keyboard shortcut keys you must know,technology
how to convert powerpoint to pdf format,technology
how karnataka is enabling fast internet connectiviy in rural villages,technology
supercomputer simulations unlock old space weather puzzle,technology
twiiter reportedly working on paid services for rs 200 a month,technology
"poco m3 pro 5gto feature dimensity 700 chip, big battery",technology
apple to reduce face id scanner sensor size for iphone 13,technology
apple likely to unveil 3rd gen airpods on may 18,technology
samsung researcher to lead largest working group in 3gpp,technology
portronics launches wi-fi led projector at rs 19999,technology
apple pips asus to reach 4th spot in india pc consumer market,technology
instagram lets users list their pronouns on profiles,technology
"asus unveils rog laptops, accessory lineup",technology
"lava launches budget phone with big display,battery",technology
44 attorneys urge facebook to drop insta for kids,technology
xiaomi patents phone design with under display flip camera,technology
samsung to skip mwc 2021 in person over virus concers,technology
samsung galaxy m51 a winner on new dxomark battery score,technology
vivo commits 3 years of android updates for uncoming flagships,technology
apple awards $45M to corning to expand manufacturing capacity,technology
asus postpone zenfone 8 series launch in india due to covid,technology
spacex launches 60 starlink satellites in record 10th liftoff,technology
this AI system can detect sarcasm in social media posts,technology
"chromebooks,tablets lead global pc revival in q1 2021",technology
vivo v21 5g stylish yet powerful mid range phone ,technology
hyperx unveils new microphone at rs 15490,technology
twitter working with indian payments providers for tip jar,technology
google is turning on two factor authentication by default,technology
google to give users more controls on how apps use their data,technology
"facebook adds new feature to instagram direct, messanger",technology
google chrome adopts windows 10 security feature,technology
"dot gives green signal for 5g trails, no chinese tech player allowed",technology
samsung galaxy note 10 series faces issue with s pen,technology
"dell, foxconn,lava apple under pli scheme for it hardware",technology
microsoft to remove adobe flash from windows 10,technology
top key things you must be aware of regarding microsoft team,technology
mi 11 ultra creater ripples in fierce india premium market,technology
twitter spaces available for users with atleast 600 folllowers,technology
instagram takes on clubhouse with audio only live streams,technology
new apple tv 4k ipad pro to launch on may 21,technology
samsung unveils new laptops under galaxy book pro series,technology
google clock app has finally ticked past the one billion installs mark on the play,technology
samsung unveils 5g ready galaxy m42 smartphone in india,technology
samsung expands presence in india smartphone market,technology
asus launches new business laptop in india,technology
instagram marketing trends that going to change your startegy,business
how can india improve its economy,business
new lockdown norms panics market sensex ends in red,business
indian oil starts oxygen supply to delhi haryana punjab,business
sensex tanks 1400 points amid surging covid cases,business
petrol prices unchanged across metros,business
hdfc bank q4 standalone net profit rises over 18%,business
petrol prices finally cut after 15 days pause,business
infosys to buy back shares worth rs 9200 crore,business
gold price fall not a worry for nbfc but banks need to be watchful,business
sensex down 1100 points amid raising covid cases,business
second covid wave heightens risks for indian banks,business
equity indices in green amid choppy trade,business
cabinet approves pli scheme for solar pv module manufacturing,business
payment banks allowed to hold rs 2L balance per customer,business
"airtel, jio announce spectrum trading agreement",business
equity indices in green sensex up 250 points,business
no change in petrol diesel prices for full week,business
covid resurgence dents equities bank stocks plunge,business
lg electronics exits from loss making mobile biz,business
global trade frictions severe in 2020,business
polluting coal to remain predominant fuel in india's energy basket,business
banks to conduct special clearing on govt cheques on mar 31,business
jsw steel complete acquisition of bhushan power and steel,business
equity indices in green sensex up 400 points,business
level up your business planning with the lastest golden rules of accounting,business
sensex drops 871 points banking stocks slump,business
hero motocorp to increase vehicles prices starting april,business
revenue dept says no instruction to officials to collect gst in cash,business
psu oil expanded retail operations during pandemic though product demand remained,business
germany's porsche posts record revenues in 2020,business
sensex down covid resurgence dampens market,business
is investing in bitcoin a bad idea?,business
what will bitcoin be worth in 2030?,business
what are the requirements for bitcoin mining,business
nearing polls softening crude keep oil from hiking prices,business
markets open on positive notes,business
markets open flat trading in narrow range,business
vedanta ups open offer price to rs 235 per share,business
shuttler bhagat bags 2 gold india finish with 20 medals,sports
premier league football to resume this weekend,sports
top indian shuttlers reach knockout stage,sports
rio tennis tournment cancelled ,sports
sakshi in indian team for asian wrestling meet,sports
how to improve casino gaming experience,sports
foreign olympic volunters not allowed  to enter japan,sports
indian womens football team to play uzbekistam belarus,sports
all england open badminton sindhu enters semi finals,sports
haryana wrestlers dominate opening day win 6 gold,sports
india squad for odi series against england announced,sports
tokyo olympic chief creative director quits over derogatory remarks,sports
early wickets against india key,sports
england wanted to rattle india with pace,sports
india nz icc world test championship final frpm june 18,sports
delhi to bid for 2048 olympics says cm kejriwal,sports
use your cricket knowledge to win fantasy cricket games,sports
boxam boxing india finish with 10 medals,sports
24 member indian squad picked for para sports world cup,sports
sudha gung ho about qualifying for olympic marathon on sunday,sports
six indian boxers enter men semi finals at boxam international,sports
5 great bingo sites that accept indian players,sports
playing india tests put me back a little bit ,sports
boxer deepak upsets uzbek olympic champ to enter 52 kg final,sports
india spinners expose england mental frailties weak skill sets,sports
india win thriller eliminate england in race to wtc final,sports
england can play both fast bowlers anderson broad,sports
indian womens hockey team leaves for germany on tuesday,sports
india england will start on equal terms in 3rd test,sports
franchise based global chess league announced,sports
adriatic pearl boxing indians assured of 12 medals,sports
olympic games 74 indian qualify,sports
haryana to grant preparation money for olympic players,sports
england will look to attack indians on the last day ,sports
bcci to use drones for live aerial shooting of cricket tourneys,sports
england set india 420 run target to win first test,sports
dutee chand's bid to prepare to qualify for olympic gets minor jolt,sports
international cricket returns to india after more than a year,sports
one indian among 25 new ioc young leaders join olympic programme,sports
karnataka tennis body to conduct level 1 officiating course,sports
gaurav gill blazes to national rally championship,sports
next month's federation cup athletics to serve as olympic qualifier,sports
2012 olympic medallist boe to coach indias rankireddy shetty pair,sports
restart date for tokyo olympic test events postponed by a month,sports
england to start summer with two test series against black caps,sports
big b returns to tv with kbc 13,entertainment
payal dev realises childhood dream of singing in salman film with dil de diya,entertainment
tamil movie comedian vivekh dead,entertainment
meera jasmine returns after hiatus in sathyan anthikadu film,entertainment
paramapadham vilayattu to release on tamil new year,entertainment
marathi films always gave importance to literature,entertainment
priyanka chopra is presenter at 74th british academy film awards,entertainment
film makers react to film certification appellate tribunal being abolished,entertainment
godzilla vs kong highest grossing foreign film in india post pandemic,entertainment
sonakshi sinha wraps shoot of reema kagti's fallen,entertainment
sooryavanshi to hit screens on april 30,entertainment
ramayan and mahabharat inspire mega film projects,entertainment
sonakshi sinha announces next film bulbul tarang,entertainment
kartik aaryan's dhamaka set for ott release,entertainment
big b undergoes cataract surgery,entertainment
kerala tribal language film vies for oscars,entertainment
bollywood newcomer seerat kapoor on her stint in telugu film,entertainment
indian short film the right click  to release on feb 12,entertainment
taapsee pannu explains why her film shabaash mithu needs to be made,entertainment
aahana kumra wish to be a part of sports film,entertainment
vijay sethupathi set for bollywood debut in silent film,entertainment
darshan meets film chamber after telugu industry opposes roberrt release on mar 11,entertainment
coastalwood star pruthvi ambaar signs two films,entertainment
kgf chapter 2 shooting comes to an end,entertainment
dignath to play farmer in his next movie,entertainment
ganesh's next film with suni titled sakkath,entertainment
dhananjay to play don jayaraj in his next movie,entertainment
raj shetty's next movie to release in june,entertainment
surabhi to romance ganesh in suni's next film,entertainment
13 films release accross state on feb 14,entertainment
popcorn monkey tiger to release on feb 21,entertainment
daily exercise may boost better health in kidney patients,health
wearing face mask during exercise safe,health
kidney stones linked to bone problems,health
the abundant health benefits of mint leaves,health
study reveals how to prevent future covid surges,health
asthmatics no higher risk of dying from covid,health
golden rules to keep your kidney healthy,health
uk variant of covid will sweep the world says scientist,health
zinc may help with fertility during covid 19 pandemic,health
bleeding gums may indicate vitamin c deficiency,health
diabetes during pregnancy linked to heart disease risk,health
7 covid patients undergo liver transplant at hyd hospital,health
4 big steps in vaccine science that led us to the covid vaccines,health
AI based technique may detect prostate cancer from urine,health
nasal covid vaccine can be potential gamechanger,health
high bp more dangerous in women than men,health
battling cancer with nanoparticles,health
alert mothers key to checking eye cancer in kids,health
yoga can ease stress for pregnant women,health
lymphoma among fastest growing cancers worldwide,health
insulin signals identified to better fight diabetes,health
dogs can detect prostate cancers,health
measles vaccine helps cure cancer,health
four tomatoes a day may reduce kidney cancer risk,health
how brain regulates co2 levels in blood,health
boost protien intake to lose weight,health
how sun exposure leads to skin cancers,health
four eggs a week can reduce risk of diabetes,health
processed meats do cause cancer,health
gum disease can increase breast cancer risk,health
how excess iron affects parkinson disease,health
new malaria vaccine generates robust immune response,health
good gut bacteria can help prevent cancer,health
liver disease risk rises in people with type 2 diabetes,health
cherry juice may help reduce high bp,health
diabetes drug can reduce risk of heart and kidney disease,health
new forms of hiv can jump from animals to humans,health
"karnataka govt prohitbits religious events, limits indoor marriages to 100 people",politics
"karnataka govt tghtens rules, impose fines to control covid",politics
bjp govt in karnataka will complete 5 year term and return to power again says amit shah,politics
govt will do whatever is possible within the ambit of law and constitution says yediyurappa,politics
karnataka govt gives nod for maski irrigation project naratha development authority,politics
yediyurappa rules out leadership change asserts will complete term as cm,politics
"pro kannada groups to go ahead with karnataka bandh tomorrow, govt warns of stern action",politics
how young benagaluru mp surya made calamity out of an opportunity,politics
west bengal registers fir against bjp mp arjun singh,politics
pm modi presiding over unprecendented human extermination,politics
govt to move hc against tejpal's acquittal in rape case,politics
govt should issue white paper on covid vaccination strategy,politics
tamil nadu cm m k stalin seeks clemency for rajiv gandhi assassination case convicts,politics
mamata says was not allowed to speak in pm's meeting on covid situation calls it super flop,politics
sonia gandhi writes to pm modi seeks free education for kids orphaned during pandemic,politics
uttar pradesh govt should actively help people in rural areas battling covid 19 says mayawati,politics
tejashwi converts official bunglow into covid care centre seeks help from govt,politics
sc notice to wb govt on plea for SIt probe into bjp workers' killing,politics
india's future wants modi's system to be shaken out of sleep says rahul gandhi,politics
cpi announces picks for next pinarayi vijayan led govt in kerala,politics
congress wants to tarnish image on inida and pm modi: bjp,politics
congress targets govt over resignation of noted virologist shahid jameel,politics
we have to think big like bjp to succeed says congress leader salman khurshid,politics
pm modi speaks to uddhav thackeray on cyclone tauktae related situation in state,politics
arrest me too rahul gandhi twwets poster criticising modi,politics
haryana govt hiding figures of covid infected deaths,politics
palaniswami writes to pm modi seeking enchanced supply of oxygen and remdesivir,politics
shiv sena hails mp govt for showing humanity to orphaned children,politics
karnataka congress offers to get vaccine using mla funds,politics
"congress alleges bjp citing fake toolkit to defame it, threatens legal action",politics
Mozilla's Metro move shows that modern apps belong in the mortuary,technology
Mozilla pulls plug on Windows 8 Metro version Firefox days before release: FLAT,technology
Mozilla shuts down Firefox Metro project for Windows 8 touchscreen devices,technology
Mozilla Stops 'Metro' Based Version of Firefox Internet Browser,technology
Mozilla shelves development of Firefox for Windows 8 Metro,technology
Mozilla abandons Firefox for the Windows 8 Start screen,technology
Mozilla Kills Modern Version of Firefox,technology
Mozilla Scraps Firefox for Windows 8 'Metro' UI Four Days Before Release,technology
"Three weeks to go, Windows XP users don't care",technology
"In Its Final Days, Windows XP Still Popular",technology
End of Life for Windows XP Exposes Computers to Viruses - Microsoft,technology
Banks make hasty software support deals,technology
Microsoft to End Windows XP Services,technology
Microsoft offers Indian phone makers Windows Phone OS,technology
Budget Windows Phones set to compete with Android in India,technology
Microsoft makes Windows Phone free for Indian OEMs but is it enough?,technology
Kim Komando: It's time to wave goodbye to Windows XP,technology
Microsoft will free some manufacturers of Windows Phone fees,technology
Asus Duet's marriage between Google and Microsoft on the rocks,technology
Microsoft takes on the 'free' OS,technology
Asus Transformer Book Duet Axed Due to Pressure from Microsoft and Google,technology
Microsoft to give its Windows OS for Free to Indian Companies,technology
ASUS Gives Up On Dual Boot Systems - See Reason,technology
Top Windows Phone Apps to help celebrate Saint Patrick's Day,technology
Is Microsoft Corporation Adopting an Android Strategy for Windows Phone?,technology
Banks Facing US$100million Bill For Windows XP,technology
"Google, Microsoft Prefer No Dual Booting Asus Notebook",technology
Microsoft to shift focus to mass smartphone market,technology
"Microsoft, Google Kill Off Intel-Asus Dual OS Tablet Effort",technology
Windows XP deadline: Banks around the world fumble,technology
"Asus has ""indefinitely postponed"" plans to sell dual-boot Transformer Book Duet ...",technology
Asus pressured to halt Windows-Android hybrid PC development: report,technology
Microsoft unveils new 'Personal' Office 365 SKU,technology
Microsoft Releases New Cheaper Office Suite with Cloud Storage,technology
Microsoft is reportedly in planning stages to release new version of Office for Mac,technology
Google Cuts Cloud Storage Prices,technology
Google drastically drops price for storage on Google Drive,technology
Why Google's price cut made the consumer cloud biz a lot cloudier,technology
Google Drive Cuts Its Cloud Data Storage Prices,technology
Google shrinks Drive Cloud storage prices,technology
Microsoft insists Xbox One controllers are compatible with the PC,technology
Microsoft kills Xbox hardware subscription. Why did it fail?,technology
Xbox One Narrows Gap with PlayStation 4 Sales in US,technology
"Xbox 360 subsidy plan dies, Xbox One controller support still PC-bound",technology
Xbox One Vs PS4: Sony Outsells Microsoft But Microsoft Makes More Money ,technology
Microsoft's Phil Spencer praises Sony's PS4 efforts,technology
"WhatsApp insists it won't collect or store data, saying 'Respect for your privacy is ...",technology
WhatsApp founder: Privacy WON'T vanish under Facebook,technology
WhatsApp founder says Facebook ownership won't change app's privacy,technology
WhatsApp CEO Talks About Privacy After $16 Billion Facebook Deal,technology
WhatsApp founder says Facebook ownership won't change privacy,technology
WhatsApp says Facebook purchase will not affect the company's values,technology
Rumour: WhatsApp To Offer Free Voice Calling Over Wi-Fi,technology
Messaging Service WhatsApp Re-Imagined With Beautiful Design,technology
WhatsApp promises not to sell your data. Why you may be skeptical,technology
WhatsApp founder denies 'careless' reports that it will open up data to Facebook,technology
WhatsApp co-founder assures users their privacy won't be affected by Facebook ...,technology
Where's the next opportunity after Facebook's WhatsApp acquisition?,technology
WhatsApp privacy accusations unfounded â€“ CEO,technology
Whatsapp hacking vulnerability raises new privacy concerns,technology
WhatsApp boss dismisses privacy concerns,technology
WhatsApp reacts to privacy concerns,technology
WhatsApp head dismisses privacy worries,technology
"WhatsApp CEO Reassures Users On Privacy, Says Won't Collect New Data",technology
"WhatsApp won't collect more info, despite Facebook deal",technology
WhatsApp founder says privacy policy will not change in Facebook era,technology
"WhatsApp Co-Founder Says He Takes Security Seriously, Even Though ...",technology
VIDEO: WhatsApp Founder Defends His Commitment To Privacy After $19 ...,technology
"WhatsApp Adds Privacy Settings, Says Facebook Won't Change Its 'Values'",technology
WhatsApp CEO: We won't compromise your privacy for Facebook,technology
Microsoft Office for iPad to touchdown on March 27th,technology
Microsoft may unveil Office for iPad,technology
Microsoft 'to launch Office for iPad',technology
Microsoft Office for iOS 'ready for release',technology
Microsoft Office For iPad Set For 27 March Launch - Report,technology
"Samsung, Microsoft restore relations",technology
This case is not about Google',technology
Apple seeks decisive Samsung ruling,technology
Apple's $2 billion lawsuit: These are the five patents allegedly infringed by ...,technology
"Apple, Samsung go to court over patent",technology
Apple again seeks decisive US court ruling against Samsung,technology
"Apple, Samsung Head Back to Court ",technology
Samsung Uses Google In Apple Patent Trial,technology
Apple says Samsung knew iPhone would be big seller,technology
Spotify UI adopts darker colors for unity across platforms,technology
Spotify launches new look,technology
Spotify's dark new design finally lets you build a personal music library,technology
"Spotify overhauls web, desktop and iOS apps with new look, new features",technology
Spotify gets biggest redesign yet,technology
"Spotify Redesign: Massive Changes Coming To iOS, Android And Desktop",technology
Spotify Gets A Major New Design,technology
"Apple Updates iWork for OS X, iOS and iCloud",technology
Apple's iWork gets revamp,technology
Twitter Action Validates Our Stand That BJP Manipulated Media: Congress,politics
Mamata Banerjee Shouldn’t Have Accepted CM Post After Losing Nandigram: Suvendu Adhikari,politics
"Amid Covid, BJP And Congress Locked In A Political Tug Of War",politics
Muslim Covid warriors victimised by Tejasvi Surya are yet to get their jobs back,politics
Assembly Election 2021: EC bans all victory processions during and after counting of votes,politics
"Assembly Elections 2021: Sporadic violence marks voting in Kerala, Bengal; polling largely peaceful in TN, Assam, Puducherry",politics
"COVID-19 vaccination: Delhi to halt inoculation for 18-44 age group due to shortage, says Arvind Kejriwal",politics
SC to pass order on Mar 5 on whether to refer matter to court-appointed mediator,politics
"BJP's OBC meet to begin in Patna today, all eyes on Mahagathbandhan vote bank",politics
PM Modi inaugurates several welfare projects in Tamil Nadu,politics
Rahul Gandhi promises minimum income guarantee to poor,politics
"Congress Yuva Kranti Yatra: Rafale jet on stage, anti-BJP slogans on tummies",politics
Tamil Nadu extends Covid lockdown by another week,politics
karnataka extends Covid lockdown by 14 days,politics
Nepal's Opposition Alliance To Stake Claim To Form Government Under Former PM,politics
"CBI Awaits Lok Sabha Speaker's Nod To Prosecute BJP's Suvendu Adhikari, 3 MPs: Report",politics
"Delhi High Court Says Politicians Must Surrender ""Hoarded"" Covid Drugs",politics
Political Leaders Have No Business To Hoard Covid Medicines: Delhi High Court,politics
Olympic-Bound Manu Bhaker To Write BA Exams While Shooting In European Championships,politics
"PM Calls Bengal Governor, Expresses Concern Over Post-Poll Violence",politics
Haryana CM cancels 'Kisan Mahapanchayat' as protesting farmers vandalise venue,politics
89 sites finalised for phase 1 of COVID-19 vaccination in Delhi: Satyendar Jain,politics
Four-time Gujarat CM Madhavsinh Solanki passes away aged 93,politics
"Over 1k Rajinikanth supporters gather in Chennai, demand his political entry",politics
"Cong, Communists play role in such incidents: Khattar on vandalism at event",politics
"Storming of US Capitol condemnable, will try to speak to Trump: Athawale",politics
Why are we still doing mock COVID-19 vaccination drills: Omar Abdullah,politics
"When India stood against terror, world got courage to face challenge: PM",politics
"Punjab CM acting for Centre, sends police to Delhi to scare farmers: Badal",politics
"So-called farmers eating chicken biryani, conspiracy to spread bird flu: BJP MLA",politics
Mamata runs Centre's schemes under her name: WB BJP chief on free vaccine,politics
Urge Centre to give free COVID-19 vaccines to all citizens: Delhi CM,politics
Each farmer in WB will get â‚¹18K in arrears if we win Assembly polls: BJP,politics
PM Modi should resign if he can't repeal farm laws: Congress,politics
"TMC means those who steal rice, ration: BJP chief JP Nadda in WB",politics
Call back Kiran Bedi: Puducherry CM to Centre as he continues dharna,politics
Umesh Kushwaha elected as president of JD(U)'s Bihar unit,politics
Derogatory language against Sita-mata: BJP IT head on TMC MP,politics
AAP is viable alternative in Mumbai: Atishi on 2022 BMC polls,politics
Will we ensure women's safety in this way: Priyanka on NCW member's remark,politics
People will show the door to TMC in Bengal polls: JP Nadda,politics
AIMIM's West Bengal acting president SK Abdul Kalam joins TMC,politics
Suvendu Adhikari's office vandalised by TMC workers in Bengal: BJP,politics
"Around 15 BJP workers hospitalised in WB after attack, party blames TMC",politics
Cong to hold nationwide protest on Jan 15 to support protesting farmers,politics
Fake farmers eating pizza & KFC products: BJP MP on protesters at Delhi borders,politics
BJP flag draped around Mahatma Gandhi statue in Kerala; protests erupt,politics
Mamata runs Centre's schemes under her name: WB BJP chief on free vaccine,politics
"Cong workers fight, hurl chairs at each other over Bihar poll loss",politics
Akhilesh stopped me from visiting UP 12 times when he was CM: Owaisi,politics
Bengal CM has dictatorial attitude like Trump: BJP's Dilip Ghosh,politics
Revisit your old speeches: Anurag Thakur to Sonia on farm laws,politics
India staring at food crisis due to BJP's adamant approach: Mamata,politics
Strict action should be taken: Congress on opening of Godse library in MP,politics
Top leaders of Haryana's BJP-JJP alliance to meet Amit Shah in Delhi,politics
"Around 15 BJP workers hospitalised in WB after attack, party blames TMC",politics
"BJP hasn't declared if Pak, Naxals are behind bird flu: Sena",politics
Derogatory language against Sita-mata: BJP IT head on TMC MP,politics
BJP will win over 200 seats in WB polls as people are 'angry' with TMC: Min,politics
PDP youth leader detained in another terror-related case soon after getting bail,politics
"BJP gave due recognition to Assam's culture, says Nadda ahead of state polls",politics
"Suvendu Adhikari's father, TMC MP Sisir Adhikari, removed as DSDA Chairman",politics
Rahul Gandhi to attend Jallikattu in Madurai on January 14,politics
Haryana govt has lost trust of people: State Cong chief Kumari Selja,politics
BJP flag draped around Mahatma Gandhi statue in Kerala; protests erupt,politics
"Dhananjay Munde accused of rape by woman, says 'I've 2 kids with accuser's sister'",politics
"Wanted to be someone important, never dreamt of becoming Vice President: Naidu",politics
Karnataka govt finalises 7 ministers to be inducted in cabinet,politics
Chandrababu Naidu burns Andhra govt orders on farmers in Bhogi bonfire,politics
PDP leader held again after getting bail; Mehbooba Mufti says it's 'vendetta',politics
Protesting farmers don't even know what they want: BJP's Hema Malini,politics
"UP MLA gives â‚¹51,000 in cash to youth who threw ink at AAP's Somnath",politics
"60 farmer deaths don't embarrass Centre, tractor rally does: Rahul",politics
Haryana govt has lost trust of people: State Cong chief Kumari Selja,politics
"BJP gave due recognition to Assam's culture, says Nadda ahead of state polls",politics
Revisit your old speeches: Anurag Thakur to Sonia on farm laws,politics
Top leaders of Haryana's BJP-JJP alliance to meet Amit Shah in Delhi,politics
"BJP hasn't declared if Pak, Naxals are behind bird flu: Sena",politics
"Suvendu Adhikari's father, TMC MP Sisir Adhikari, removed as DSDA Chairman",politics
Bengal CM has dictatorial attitude like Trump: BJP's Dilip Ghosh,politics
Central government should withdraw farm laws now: Akhilesh Yadav,politics
"Cong workers fight, hurl chairs at each other over Bihar poll loss",politics
SC order on farm laws resounding moral defeat for Centre: Badal,politics
Akhilesh stopped me from visiting UP 12 times when he was CM: Owaisi,politics
Rahul Gandhi to attend Jallikattu in Madurai on January 14,politics
Strict action should be taken: Congress on opening of Godse library in MP,politics
"We will get north Indian voters back, says Mumbai Congress chief",politics
England once played Test matches in 2 continents on same day,sports
"Punit Bisht smashes 17 sixes, breaks record for most sixes by an Indian in a T20",sports
"Daughter asked Ashwin to take leave, said 'Why go to office in pain': Wife Prithi",sports
Rishabh Pant wasn't even aware Smith scuffed his batting mark: India batting coach,sports
Australia haven't lost a single Test at the Gabba in over 32 years,sports
"England fan waits 10 months in Sri Lanka to watch Test match, kicked out by police",sports
Record for 2nd and 3rd highest T20 score by an Indian broken on same day,sports
"Supriyo tweets 'Hanuma Bihari has murdered cricket', Vihari corrects spelling",sports
Only 2 Indian players have played all the 4 Tests in series against Australia,sports
"Prithvi Shaw hits Rohit Sharma with a stray throw, gets trolled after video goes viral",sports
"US Olympic medallist Klete Keller, arrested over Capitol riot, released from custody",sports
"Hanuma Vihari, who was ruled out of 4th Test due to injury, leaves for India",sports
Sydney Test ends in a draw as India bat out 100+ overs in 4th innings after 18 years,sports
"Crowd crossed the line, this must be dealt with an iron fist: Ashwin on racial abuse",sports
"Steve Smith caught scuffing Rishabh Pant's batting mark on pitch, video goes viral",sports
"I am depressed, Krunal Pandya showed dadagiri and threatened me: Hooda in letter",sports
"Paine joins India huddle during racial abuse incident, Langer calls him 'class act'",sports
Jaffer shares 'Veer-Zaara' lyrics to react to Aussie fans racially abusing Team India,sports
"Tum karo toh sarcasm, aur koi kare toh racism: Sehwag condemns racial abuse at SCG",sports
"Shoaib Malik's sports car crashes into truck in Lahore, pics of damaged car surface",sports
